date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-12-19,5.25,4,2,10.25,,,,90,110,4,1.25,,7.5,,,,FALSE,FALSE,TRUE,,fad5936e17434mig
2025-12-20,4.75,2.75,2,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f414ac26eee14mig
2025-12-21,4.25,2.25,2,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,919a4a2500f74mig
2025-12-22,4,2.15,1.25,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,7802698118044mig
2025-12-23,5.25,4.5,0.25,9.5,,,,85,88,4,0.75,,6,,,,FALSE,FALSE,FALSE,,12497b9ab45a4mig
2025-12-24,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,86c5e3d0b3554mig
2025-12-25,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,5edd9a80cfb64mig
2025-12-26,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,,391cece94a924mig
2025-12-27,2.75,2,1,5.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,688bbcdcfa8d4mig
2025-12-28,2,2,1,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,28f3e33a57a04mig
2025-12-29,1,1.5,0.25,0.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,540c07f00e324mig
2025-12-30,4.25,1.5,1,2.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0075c98b19bf4mig
2025-12-31,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,022c513f54f14mig
2026-01-01,3,,1.5,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,524bb9c875c94mig
2026-01-02,5,1,1.5,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c03a9212e4b84mig
2026-01-03,4.2,0.75,1.5,4.25,,,,95,,5,0.75,,,,,,FALSE,FALSE,FALSE,,0930c1bf2dca4mig
2026-01-04,3.5,0.25,1.5,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,d0d4f6c8e3a64mig
2026-01-05,5,0.5,1.5,3.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e5687c24dc804mig
2026-01-06,7.25,1,2.5,7,,,,,,3,0.5,,4,,,,FALSE,FALSE,FALSE,,d96b331b54724mig
2026-01-07,6.5,0.75,1.5,5.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,bb29056cfd6f4mig
2026-01-08,8.5,1.5,1,9.75,,,,57,77,3.25,,,4.25,,,,FALSE,TRUE,FALSE,,4f9c792d11dd4mig
2026-01-09,6,1.25,1.2,6.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9f9bbf0f8df34mig
2026-01-10,4.25,1,1,3.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,83450be3d03a4mig
2026-01-11,3,0.5,3,2,,,,,,,,,,,,,FALSE,FALSE,FALSE,,6c061d09ad854mig
2026-01-12,1.5,0.25,1,1.5,,,,,,,,,,,,,FALSE,TRUE,FALSE,,3a211ca5755c4mig
2026-01-13,4.5,1.25,5,5,,,,85,77,3.75,1,,4.25,,,,FALSE,FALSE,FALSE,,0e2472a194d04mig
2026-01-14,3.25,1,4,4.15,,,,,,,,,,,,,FALSE,FALSE,FALSE,,494c6772a0aa4mig
2026-01-15,2.25,0.75,3,2.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,d7bf5726add54mig
2026-01-16,5,1.5,2,8,,,,90,99,2,1,,7,,,,FALSE,FALSE,FALSE,,5a8804bda50e4mig
2026-01-17,4,2.15,1.5,6,,,,,,2,0.5,,,,,,FALSE,TRUE,FALSE,,1f238d55c2b64mig
2026-01-18,2.5,1.25,2.25,4,,,,,,,,,,,,,FALSE,FALSE,TRUE,,e4e9f5e505754mig
2026-01-19,2,1,2,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,ce912279cd794mig
2026-01-20,5,1.5,2,6,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c1324734fd444mig
2026-01-21,4,1,0.5,4.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f16a15ae7eb84mig
2026-01-22,7,1.5,4.5,6.75,,,,85,55,3.9,1,,4,,,,FALSE,TRUE,FALSE,,726f30a709e54mig
2026-01-23,6,1,4,5,,,,,,6,,,,,,,FALSE,FALSE,FALSE,,0d102f1198ba4mig
2026-01-24,4,0.5,3,4.5,,,,,,,,,1.5,,,,FALSE,FALSE,FALSE,,02e18451070b4mig
2026-01-25,2.5,,,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0713d3e8e03c4mig
2026-01-26,2,0,4,3,,,,,,,,,,,,,FALSE,FALSE,FALSE,,6686f35d78314mig
2026-01-27,5.75,0.5,3.25,8,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e016652620bb4mig
2026-01-28,5.5,0.2,2.5,6.75,,,,,,0.5,0.25,,,,,,FALSE,FALSE,FALSE,,9af5ae3e1fe14mig
2026-01-29,7.5,1,2,8.75,,,,90,66,4,1,,4,,,,FALSE,TRUE,TRUE,,51718315ae3b4mig
2026-01-30,5.5,0.5,1,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3610d572ba5e4mig
2026-01-31,1.5,0.1,1.5,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,fd73e27da9394mig
2026-02-01,2.5,0,3,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,104f50723be44mig
2026-02-02,4.5,1.5,1,4.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,c233e40195c54mig
2026-02-03,5.3,2.8,1,3.5,,,,,,2,0.8,,,,,,FALSE,FALSE,FALSE,,ab7a21788f504mig
2026-02-04,4.25,2.2,0,2.1,,,,,,,,,,,,,FALSE,TRUE,FALSE,,346ea44f3e5d4mig
2026-02-05,3,2.5,4.5,7,,,,,,6,,,,,,,FALSE,FALSE,FALSE,,0f93584ae6164mig
2026-02-06,6.5,2.5,4,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,685ba02a587e4mig
2026-02-07,5,1.75,2,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f09e753414924mig
2026-02-08,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e42b52d13de04mig
2026-02-09,8,2.25,1,4.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,723d029f31774mig
2026-02-10,7.75,2.5,1,3.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,e8686b7078984mig
2026-02-11,6.25,1.6,0,5.75,,,,,,,,,3,,,,FALSE,FALSE,FALSE,,8540e9432ec34mig
2026-02-12,8,2.5,2.25,4.25,,,,30kg,15kg,3.5,1,,0.25,,,,FALSE,FALSE,FALSE,,b673fc3ae6d64mig
2026-02-13,6.5,1,1,5.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,575e6810500a4mig
2026-02-14,3.5,0.25,0.5,1.5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f9002192e5a84mig
2026-02-15,3,3,,1,,,,,,,,,,,,,FALSE,FALSE,FALSE,,899f604b71324mig
2026-02-16,2,0.4,,1.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,dbb5351285ca4mig
2026-02-17,3,1,2,2.75,,,,,,2,1,,,,,,FALSE,FALSE,FALSE,,f967a522d0194mig
2026-02-18,4.5,1.9,1,1.75,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3535570e52524mig
2026-02-19,3.15,1.5,4.15,3,,,,50,30,,,,3.1,,,,FALSE,FALSE,FALSE,,86548b425db44mig
2026-02-20,7,2.5,4,4,,,,,,4,1,,2.25,,,,FALSE,FALSE,FALSE,,2e6294d01aa74mig
2026-02-21,4.5,1.75,3.5,4,,,,,,,,,2,,,,FALSE,FALSE,FALSE,,10f749ead0b64mig
2026-02-22,2.9,2,1.25,2.75,,,,,,,,,1,,,,FALSE,FALSE,FALSE,,56bd91569dd44mig
2026-02-23,7,3.25,2,3,,,,50,30,5,2,,1,,,,FALSE,FALSE,FALSE,,2dd09587694a4mig
2026-02-24,5,2.9,1,2.75,,,,,,,,,1.5,,,,FALSE,FALSE,FALSE,,5ba77ed54a964mig
2026-02-25,3,2.25,3,7.25,,,,,,,,,6.25,,,,FALSE,FALSE,FALSE,,dbc7296e1c594mig
2026-02-26,8,4,3,6.75,,,,75,60,6.25,2,,,,,,FALSE,FALSE,TRUE,,f1101da5ea974mig
2026-02-27,6.75,4,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,642a4cbbbbe54mig
2026-02-28,5,3,1,2.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,2e783aeed7b74mig
2026-03-01,4,3.25,4.25,4.25,,,,,,,,,,,,,FALSE,FALSE,FALSE,,9da3598bde134mig
2026-03-02,8,4.5,4,3,,,,50,3,5,2,,,,,,FALSE,FALSE,FALSE,,c0c35a2495804mig
2026-03-03,7,4.25,3.5,5.5,,,,,,,,,4,,,,FALSE,FALSE,FALSE,,07962e9a18b54mig
