date,eod_sammy,eod_og,eod_grilled,eod_tenders,eod_thaw,eod_boxed,del_dark,del_tenders,prep_sammy,prep_og,prep_grilled,prep_tenders,waste_sammy,waste_og,waste_grilled,waste_tenders,oil_fries,oil_left,oil_right,logged_by,id
2025-10-23,8.5,4,4,13,,,110,77,6,1.5,,7,,,,,FALSE,FALSE,FALSE,,8c6b9ce3af364mig
2025-10-24,7.25,4,3.25,12,,,,,,,,,,,,,FALSE,FALSE,FALSE,,3ac02579d1434mig
2025-10-25,6,3.5,3,8,,,,,,,,,2,,,,TRUE,TRUE,FALSE,,cab194447eb64mig
2025-10-26,4.75,1.75,2,6.75,,,,,,,,,,,,,FALSE,FALSE,TRUE,,0cccd7e0410f4mig
2025-10-27,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,,0eebc3a250b94mig
2025-10-28,8,1.5,3.3,8,,,,,4.8,1,,4,,,,,FALSE,FALSE,FALSE,,54ffa09bb5ed4mig
2025-10-29,6,2.5,3.25,7,,,,,,,,,,,,,FALSE,FALSE,FALSE,,211b0abfac384mig
2025-10-30,11,2.75,2.5,10,,,105,66,6,1,,6,,,,,FALSE,FALSE,FALSE,,dabc34c6b4804mig
2025-10-31,9.25,2,2.5,7.25,,,,,,,,,,0.1,,,FALSE,FALSE,FALSE,,0aa601069ad84mig
2025-11-01,7.5,1,3,5.5,,,,,,,,,,,,,TRUE,FALSE,FALSE,,b4ef37397a824mig
2025-11-02,6.35,0.75,2.5,4,,,,,,,,,,,,,FALSE,TRUE,FALSE,,39934bbb554a4mig
2025-11-03,5.75,0.75,2.75,3.25,,,,,,,,,,,,,FALSE,FALSE,TRUE,,c2f1ee4fbb274mig
2025-11-04,8,1.5,2.25,7,,,55,55,,,,,,,,,FALSE,FALSE,FALSE,,69f8bde64a994mig
2025-11-05,7,0.5,2,5,,,,,,,,,,,,,FALSE,FALSE,FALSE,,f48497ae98e04mig
